id,size,loc,door_yn,roof_yn,window_cnt
house_10_female_00061.jpg,small,right,y,y,1 or 2
house_10_female_00093.jpg,small,center,y,y,1 or 2
house_10_female_00148.jpg,middle,center,y,y,1 or 2
house_10_female_00254.jpg,small,center,y,y,more than 3
house_10_female_00398.jpg,middle,center,y,y,1 or 2
house_10_female_00445.jpg,middle,center,y,y,more than 3
house_10_female_00457.jpg,middle,center,y,y,1 or 2
house_10_female_00656.jpg,middle,right,y,y,1 or 2
house_10_female_00675.jpg,middle,center,y,y,1 or 2
house_10_female_00794.jpg,middle,center,y,y,more than 3
house_10_female_00900.jpg,middle,center,y,y,1 or 2
house_10_female_00908.jpg,middle,center,y,y,1 or 2
house_10_female_00930.jpg,middle,center,y,y,1 or 2
house_10_female_01017.jpg,middle,left,y,y,1 or 2
house_10_female_01024.jpg,middle,center,y,y,1 or 2
house_10_female_01109.jpg,middle,center,y,y,more than 3
house_10_female_01170.jpg,middle,center,y,y,1 or 2
house_10_female_01262.jpg,middle,center,y,y,1 or 2
house_10_female_01281.jpg,middle,center,y,y,1 or 2
house_10_female_01312.jpg,middle,center,y,y,1 or 2
house_10_female_01479.jpg,small,left,y,y,more than 3
house_10_female_01493.jpg,middle,center,y,y,1 or 2
house_10_female_01550.jpg,middle,center,y,y,1 or 2
house_10_female_01660.jpg,middle,left,y,y,1 or 2
house_10_female_01743.jpg,small,center,y,y,1 or 2
house_10_female_01760.jpg,middle,center,y,y,1 or 2
house_10_female_01819.jpg,small,center,y,y,1 or 2
house_10_female_01892.jpg,middle,left,y,y,1 or 2
house_10_female_01896.jpg,middle,center,y,y,more than 3
house_10_female_01934.jpg,middle,left,y,y,1 or 2
house_10_female_01964.jpg,middle,center,y,y,1 or 2
house_10_female_02005.jpg,middle,center,y,y,1 or 2
house_10_female_02053.jpg,small,center,y,y,1 or 2
house_10_female_02119.jpg,small,center,y,y,1 or 2
house_10_female_02229.jpg,middle,center,y,y,more than 3
house_10_female_02293.jpg,middle,center,y,y,1 or 2
