id,size,loc,arm_yn,eye_yn,leg_yn,mouth_yn
men_10_female_00034.jpg,middle,center,y,y,y,y
men_10_female_00103.jpg,big,center,y,y,y,y
men_10_female_00191.jpg,small,center,y,y,y,y
men_10_female_00311.jpg,small,center,y,y,y,y
men_10_female_00319.jpg,middle,center,y,y,y,y
men_10_female_00344.jpg,big,center,y,y,y,y
men_10_female_00413.jpg,big,center,y,y,y,y
men_10_female_00425.jpg,middle,center,y,y,y,y
men_10_female_00461.jpg,middle,center,y,y,y,y
men_10_female_00518.jpg,small,center,y,y,y,y
men_10_female_00763.jpg,middle,center,y,y,y,y
men_10_female_00791.jpg,big,center,y,y,y,y
men_10_female_00829.jpg,middle,center,y,y,y,y
men_10_female_00930.jpg,small,center,y,y,y,y
men_10_female_00968.jpg,middle,center,y,y,y,y
men_10_female_00980.jpg,big,center,y,y,y,y
men_10_female_01084.jpg,middle,center,y,y,y,y
men_10_female_01157.jpg,small,left,y,y,y,y
men_10_female_01194.jpg,middle,center,y,y,y,y
men_10_female_01431.jpg,small,center,y,y,y,y
men_10_female_01497.jpg,middle,left,y,y,y,y
men_10_female_01507.jpg,middle,center,y,y,y,y
men_10_female_01601.jpg,middle,center,y,y,y,y
men_10_female_01651.jpg,middle,center,y,y,y,y
men_10_female_01663.jpg,middle,center,y,y,y,y
men_10_female_01709.jpg,small,center,y,y,y,y
men_10_female_01889.jpg,middle,center,y,y,y,y
men_10_female_02036.jpg,big,center,y,y,y,y
men_10_female_02148.jpg,middle,center,y,y,y,y
men_10_female_02164.jpg,middle,center,y,y,y,y
men_10_female_02283.jpg,small,center,y,y,y,y
men_10_female_02285.jpg,middle,center,y,y,y,y
men_10_female_02294.jpg,small,center,y,y,y,y
men_10_female_02512.jpg,small,center,y,y,y,y
men_10_female_02729.jpg,small,center,y,y,y,y
men_10_female_02832.jpg,middle,center,y,y,y,y
men_10_female_03075.jpg,middle,center,y,y,y,y
men_10_female_03112.jpg,middle,center,y,y,y,y
men_10_female_03182.jpg,middle,center,y,y,y,y
men_10_female_03200.jpg,small,center,y,y,y,y
men_10_female_03205.jpg,big,center,y,y,y,y
men_10_female_03221.jpg,middle,center,y,y,y,y
men_10_female_03225.jpg,small,center,y,y,y,y
men_10_female_03251.jpg,middle,center,y,n,y,y
men_10_female_03382.jpg,middle,center,y,y,y,y
men_10_female_03457.jpg,middle,center,y,y,y,y
men_10_female_03822.jpg,small,center,y,y,y,n
men_10_female_03850.jpg,middle,center,y,y,y,y
men_10_female_03912.jpg,small,center,y,y,y,y
men_10_female_04234.jpg,middle,left,y,y,y,y
men_10_female_04329.jpg,middle,left,y,y,y,y
men_10_female_04495.jpg,small,center,y,y,y,y
men_10_female_04522.jpg,middle,center,y,y,y,y
men_10_female_04714.jpg,small,center,y,y,y,y
men_10_female_04795.jpg,big,center,y,y,y,y
men_10_female_05188.jpg,small,center,y,y,y,y
men_10_female_05239.jpg,small,center,y,y,y,y
men_10_female_05254.jpg,small,center,y,y,y,y
men_10_female_05306.jpg,middle,center,y,y,y,y
men_10_female_05329.jpg,middle,center,y,y,y,y
men_10_female_05491.jpg,small,center,y,y,y,y
men_10_female_05522.jpg,middle,center,y,y,y,y
men_10_female_05604.jpg,middle,center,y,y,y,y
men_10_female_05714.jpg,small,center,y,y,y,y
men_10_female_05828.jpg,small,center,y,y,y,y
men_10_female_06067.jpg,middle,center,y,y,y,y
men_10_female_06258.jpg,small,center,y,y,y,y
men_10_female_06288.jpg,middle,center,y,y,y,y
men_10_female_06381.jpg,middle,center,y,y,y,y
men_10_female_06583.jpg,middle,center,y,y,y,y
men_10_female_06596.jpg,big,center,y,y,y,y
men_10_female_06607.jpg,small,center,y,y,y,y
men_10_female_06891.jpg,small,center,y,y,y,y
men_10_female_06908.jpg,middle,center,y,y,y,y
men_10_female_06932.jpg,big,center,y,y,y,y
men_10_female_07065.jpg,middle,center,y,y,y,y
men_10_female_07077.jpg,small,center,y,y,y,y
men_10_female_07117.jpg,small,center,y,y,y,y
men_10_female_07131.jpg,middle,center,y,y,y,y
men_10_female_07159.jpg,middle,center,y,y,y,y
men_10_female_07199.jpg,middle,center,y,y,y,y
men_10_female_07202.jpg,middle,center,y,y,y,y
men_10_female_07220.jpg,middle,center,y,y,y,y
men_10_female_07456.jpg,middle,center,y,y,y,y
men_10_female_07487.jpg,small,center,y,y,y,y
men_10_female_07574.jpg,small,center,y,y,y,y
men_10_female_07590.jpg,small,center,y,y,y,y
men_10_female_07702.jpg,small,center,y,y,y,y
men_10_female_07703.jpg,small,center,y,y,y,y
men_10_female_07744.jpg,middle,center,y,y,y,y
men_10_female_07768.jpg,middle,center,y,y,y,y
men_10_female_07769.jpg,middle,center,y,y,y,y
men_10_female_07773.jpg,middle,center,y,y,y,y
men_10_female_07806.jpg,small,center,y,y,y,y
men_10_female_07853.jpg,small,center,y,y,y,y
men_10_female_08094.jpg,small,center,y,y,y,y
men_10_female_08103.jpg,small,center,y,y,y,y
men_10_female_08150.jpg,small,center,y,y,y,y
men_10_female_08188.jpg,big,center,y,y,y,y
men_10_female_08621.jpg,middle,center,y,y,y,y
men_10_female_08652.jpg,small,center,y,y,y,y
men_10_female_08656.jpg,small,center,y,y,y,y
men_10_female_08708.jpg,middle,center,y,y,y,y
men_10_female_08877.jpg,big,center,y,y,y,y
men_10_female_09021.jpg,small,center,y,y,y,y
men_10_female_09051.jpg,middle,center,y,y,y,y
men_10_female_09124.jpg,small,center,y,y,y,y
men_10_female_09149.jpg,small,center,y,y,y,y
men_10_female_09153.jpg,small,center,y,y,y,y
men_10_female_09383.jpg,small,center,y,y,y,n
men_10_female_09714.jpg,small,center,y,y,y,y
men_10_female_09741.jpg,middle,center,y,y,y,y
men_10_female_09775.jpg,small,center,y,y,y,y
men_10_female_09814.jpg,middle,center,y,y,y,y
men_10_female_09842.jpg,middle,center,y,y,y,y
men_10_female_09946.jpg,small,center,y,y,y,y
men_10_female_09996.jpg,middle,center,y,y,y,y
men_10_female_10108.jpg,middle,center,y,y,y,y
men_10_female_10145.jpg,middle,center,y,y,y,y
men_10_female_10177.jpg,middle,center,y,y,y,y
men_10_female_10339.jpg,small,center,y,y,y,y
men_10_female_10416.jpg,small,center,y,y,y,y
men_10_female_10436.jpg,small,center,y,y,y,y
men_10_female_10554.jpg,middle,center,y,y,y,y
men_10_female_10575.jpg,middle,center,y,y,y,y
men_10_female_10579.jpg,middle,center,y,y,y,y
men_10_female_10800.jpg,middle,center,y,y,y,y
men_10_female_10819.jpg,middle,center,y,y,y,y
men_10_female_10974.jpg,middle,center,y,y,y,y
men_10_female_11139.jpg,small,center,y,y,y,y
men_10_female_11163.jpg,middle,center,y,y,y,y
men_10_female_11317.jpg,middle,center,y,y,y,y
