id,size,loc,arm_yn,eye_yn,leg_yn,mouth_yn
women_10_female_00149.jpg,small,center,y,y,y,y
women_10_female_00186.jpg,middle,center,y,y,y,y
women_10_female_00360.jpg,middle,center,y,y,y,y
women_10_female_00446.jpg,small,left,y,y,y,y
women_10_female_00521.jpg,middle,center,y,y,y,y
women_10_female_00613.jpg,small,left,y,y,y,y
women_10_female_00730.jpg,small,center,y,y,y,y
women_10_female_00756.jpg,middle,center,y,y,y,y
women_10_female_00803.jpg,big,center,y,y,y,y
women_10_female_00912.jpg,middle,center,y,y,y,y
women_10_female_01007.jpg,middle,center,y,y,y,y
women_10_female_01124.jpg,small,center,y,y,y,y
women_10_female_01228.jpg,big,center,y,y,y,y
women_10_female_01238.jpg,middle,center,y,y,y,y
women_10_female_01249.jpg,middle,left,y,y,y,y
women_10_female_01408.jpg,middle,center,y,y,y,y
women_10_female_01544.jpg,small,center,y,y,y,y
women_10_female_01665.jpg,small,center,y,y,y,y
women_10_female_01781.jpg,middle,center,y,y,y,y
women_10_female_01989.jpg,middle,center,y,y,y,y
women_10_female_02022.jpg,small,center,y,y,y,y
women_10_female_02031.jpg,small,center,y,y,y,y
women_10_female_02206.jpg,middle,center,y,y,y,y
women_10_female_02240.jpg,middle,center,y,y,y,y
women_10_female_02311.jpg,middle,center,y,y,y,y
women_10_female_02430.jpg,middle,center,y,y,y,y
women_10_female_02475.jpg,small,center,y,y,y,n
women_10_female_02477.jpg,middle,right,y,y,y,y
women_10_female_02525.jpg,small,center,y,y,y,y
women_10_female_02572.jpg,big,center,y,y,y,y
women_10_female_02586.jpg,small,center,y,y,y,y
women_10_female_02613.jpg,middle,center,y,y,y,y
women_10_female_02640.jpg,middle,center,y,y,y,y
women_10_female_02643.jpg,small,center,y,y,y,y
women_10_female_02674.jpg,middle,center,y,y,y,y
women_10_female_02702.jpg,small,center,y,y,y,y
women_10_female_02744.jpg,middle,center,y,y,y,y
women_10_female_02825.jpg,small,center,y,y,y,y
women_10_female_02859.jpg,small,center,y,y,y,y
women_10_female_03112.jpg,middle,center,y,y,y,y
women_10_female_03118.jpg,middle,center,y,y,y,y
women_10_female_03135.jpg,big,center,y,y,y,y
women_10_female_03312.jpg,middle,center,y,y,y,y
women_10_female_03458.jpg,small,center,y,y,y,y
women_10_female_03476.jpg,middle,center,y,y,y,y
women_10_female_03648.jpg,middle,center,y,y,y,y
